Agence,Date de transaction,Communes,map
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-09-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-03-31,Brugelette,"50.6016956, 3.8647978539522874"
Clermont A,2022-09-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-03-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Brugelette,"50.6016956, 3.8647978539522874"
Clermont A,2022-09-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2022-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-06-30,Brunehaut,"50.5152751, 3.4207905"
Clermont A,2022-09-30,Brugelette,"50.6016956, 3.8647978539522874"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Mons,"50.445820850000004, 3.977683401229719"
Clermont A,2022-12-31,Mons,"50.445820850000004, 3.977683401229719"
Clermont A,2022-12-31,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2022-09-30,Grammont,"50.7715779, 3.8827287"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-09-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2022-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2022-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2022-12-31,Saint-Ghislain,"50.4477484, 3.8195241"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Silly,"50.64284065, 3.9423457187111137"
Clermont A,2022-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2022-03-31,Leuze-En-Hainaut,"50.6000447, 3.6263765"
Clermont A,2022-09-30,Brugelette,"50.6016956, 3.8647978539522874"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-03-31,Leuze-en-Hainaut,"50.6000447, 3.6263765"
Clermont A,2022-12-31,Flobecq,"50.755508199999994, 3.7314432186147237"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-06-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2022-12-31,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2022-09-30,Mont-de-l'Enclus,#N/A
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-09-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Leuze-en-Hainaut,"50.6000447, 3.6263765"
Clermont A,2022-09-30,Frasnes-lez-Anvaing,"50.68025195, 3.6229617518594277"
Clermont A,2022-06-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2022-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Jurbise,"50.5219843, 3.9080503172670893"
Clermont A,2022-12-31,Lens,"50.5777797, 3.933181493586007"
Clermont A,2022-12-31,Leuze-en-Hainaut,"50.6000447, 3.6263765"
Clermont A,2022-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-06-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2022-09-30,Lessines,"50.7123036, 3.8301131"
Masure,2022-03-31,Braine-Le-Comte,"50.6107057, 4.1360702"
Masure,2022-03-31,Soignies,"50.579203, 4.0685604"
Masure,2022-03-31,Soignies,"50.579203, 4.0685604"
Masure,2022-03-31,Soignies,"50.579203, 4.0685604"
Masure,2022-03-31,Soignies,"50.579203, 4.0685604"
Masure,2022-03-31,Le Roeulx,"50.504794649999994, 4.091488229789052"
Masure,2022-03-31,Soignies,"50.579203, 4.0685604"
Masure,2022-03-31,Soignies,"50.579203, 4.0685604"
Masure,2022-03-31,Soignies,"50.579203, 4.0685604"
Masure,2022-03-31,Le Roeulx,"50.504794649999994, 4.091488229789052"
Masure,2022-03-31,Soignies,"50.579203, 4.0685604"
Masure,2022-03-31,Soignies,"50.579203, 4.0685604"
Masure,2022-03-31,Braine-le-Comte,"50.6107057, 4.1360702"
Masure,2022-03-31,Ecaussinnes,"50.56084485, 4.170484531877113"
Masure,2022-03-31,Soignies,"50.579203, 4.0685604"
Masure,2022-03-31,Soignies,"50.579203, 4.0685604"
Masure,2022-03-31,Soignies,"50.579203, 4.0685604"
Masure,2022-03-31,Silly,"50.64284065, 3.9423457187111137"
Masure,2022-03-31,Soignies,"50.579203, 4.0685604"
Masure,2022-03-31,Soignies,"50.579203, 4.0685604"
Masure,2022-03-31,Soignies,"50.579203, 4.0685604"
Masure,2022-03-31,Soignies,"50.579203, 4.0685604"
Masure,2022-06-30,Holsbeek,"50.579203, 4.0685604"
Masure,2022-06-30,Soignies,"50.579203, 4.0685604"
Masure,2022-06-30,Braine-Le-Comte,"50.6107057, 4.1360702"
Masure,2022-06-30,Soignies,"50.579203, 4.0685604"
Masure,2022-06-30,Soignies,"50.579203, 4.0685604"
Masure,2022-06-30,Soignies,"50.579203, 4.0685604"
Masure,2022-06-30,Soignies,"50.579203, 4.0685604"
Masure,2022-06-30,Jurbise,"50.5219843, 3.9080503172670893"
Masure,2022-06-30,Soignies,"50.579203, 4.0685604"
Masure,2022-06-30,Soignies,"50.579203, 4.0685604"
Masure,2022-06-30,Braine-Le-Comte,"50.6107057, 4.1360702"
Masure,2022-06-30,Soignies,"50.579203, 4.0685604"
Masure,2022-06-30,Soignies,"50.579203, 4.0685604"
Masure,2022-06-30,Soignies,"50.579203, 4.0685604"
Masure,2022-06-30,Soignies,"50.579203, 4.0685604"
Masure,2022-06-30,Soignies,"50.579203, 4.0685604"
Masure,2022-06-30,Soignies,"50.579203, 4.0685604"
Masure,2022-06-30,Braine-Le-Comte,"50.6107057, 4.1360702"
Masure,2022-06-30,Soignies,"50.579203, 4.0685604"
Masure,2022-06-30,Soignies,"50.579203, 4.0685604"
Masure,2022-06-30,Soignies,"50.579203, 4.0685604"
Masure,2022-06-30,Soignies,"50.579203, 4.0685604"
Masure,2022-06-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Braine-Le-Comte,"50.6107057, 4.1360702"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Mons,"50.445820850000004, 3.977683401229719"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Le Roeulx,"50.504794649999994, 4.091488229789052"
Masure,2022-09-30,Le Roeulx,"50.504794649999994, 4.091488229789052"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Ecaussinnes,"50.56084485, 4.170484531877113"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-09-30,Soignies,"50.579203, 4.0685604"
Masure,2022-12-31,Soignies,"50.579203, 4.0685604"
Masure,2022-12-31,Ecaussinnes,"50.56084485, 4.170484531877113"
Masure,2022-12-31,Soignies,"50.579203, 4.0685604"
Masure,2022-12-31,Soignies,"50.579203, 4.0685604"
Masure,2022-12-31,Ecaussinnes,"50.56084485, 4.170484531877113"
Masure,2022-12-31,Soignies,"50.579203, 4.0685604"
Masure,2022-12-31,Soignies,"50.579203, 4.0685604"
Masure,2022-12-31,Soignies,"50.579203, 4.0685604"
Masure,2022-12-31,Soignies,"50.579203, 4.0685604"
Masure,2022-12-31,Soignies,"50.579203, 4.0685604"
Masure,2022-12-31,Braine-Le-Comte,"50.6107057, 4.1360702"
Masure,2022-12-31,Lens,"50.5777797, 3.933181493586007"
Masure,2022-12-31,Soignies,"50.579203, 4.0685604"
Masure,2022-12-31,La Louvière,"50.4761101, 4.1830751"
Masure,2022-12-31,Soignies,"50.579203, 4.0685604"
Masure,2022-12-31,La Louvière,"50.4761101, 4.1830751"
Masure,2022-12-31,Soignies,"50.579203, 4.0685604"
Masure,2022-12-31,Ruiselede,"50.56084485, 4.170484531877113"
Masure,2022-12-31,Soignies,"50.579203, 4.0685604"
Masure,2022-12-31,Soignies,"50.579203, 4.0685604"
Masure,2022-12-31,Braine-Le-Comte,"50.6107057, 4.1360702"
Masure,2022-12-31,Soignies,"50.579203, 4.0685604"
Clermont A,2023-09-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Brugelette,"50.6016956, 3.8647978539522874"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-03-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Beloeil,"50.531288200000006, 3.6880111096489694"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-12-31,Beloeil,"50.531288200000006, 3.6880111096489694"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Erquelinnes,"50.3030663, 4.158430897938041"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-03-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-03-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Enghien,"50.6957066, 4.0411928"
Clermont A,2023-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-03-31,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-06-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-09-30,Soignies,"50.579203, 4.0685604"
Clermont A,2023-03-31,Beloeil,"50.531288200000006, 3.6880111096489694"
Clermont A,2023-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-12-31,Lens,"50.5777797, 3.933181493586007"
Clermont A,2023-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-09-30,Lessines,"50.7123036, 3.8301131"
